City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Klaipeda,Lithuania,Europe,"","","","","","","","","","",10,11,15,6,""
Vilnius,Lithuania,Europe,42,43,43,32,41,58,30,26,22,19,26,45,35,21,""
Luxembourg,Luxembourg,Europe,"","",1,4,2,3,5,0,3,0,0,1,"","",""
ANTARIVO,Madagascar,Africa,"","","","","","","","",73,98,63,101,105,"",""
Mahajanaga,Madagascar,Africa,"","","","","","","","","",12,16,16,32,"",""
Toamasina,Madagascar,Africa,"","","","","","","","",31,19,35,22,24,"",""
Kuala Lumpur,Malaysia,Asia,"","",47,70,"","","","","","","","","","",""
Male,Maldives,Asia,"","","","","",4,5,4,2,6,1,"","","",""
Valletta,Malta,Europe,"","",0,0,0,0,0,1,0,0,0,0,0,"",""
Port Louis,Mauritius,Africa,"","",8,5,8,14,11,12,8,"","","","","",""
Mexico City,Mexico,Americas,"",948,878,819,848,931,981,1078,1100,1086,1107,1089,1079,1280,1314
Conadmine,Monaco,Europe,"","","","","","","","","","","","",0,"",""
Fontvielle,Monaco,Europe,"","","","","","","","","","","","",0,"",""
Monte-Carlo,Monaco,Europe,"","",1,1,0,0,"","","","",0,"",0,"",""
Central,Mongolia,Asia,"","","","","","",9,16,8,11,14,26,17,21,""
Orkhon,Mongolia,Asia,"","","","","","",7,9,10,4,14,24,28,21,""
Ulaanbaatar,Mongolia,Asia,162,150,157,153,138,112,101,91,136,99,79,107,95,87,""
Bijelo Polje,Montenegro,Europe,"","","","","","","","","","","",3,4,"",""
Niksic,Montenegro,Europe,"","","","","","","","","","","",3,2,2,""
Podgorica,Montenegro,Europe,9,7,12,11,7,7,8,7,8,7,1,5,2,4,""
Casablanca,Morocco,Africa,35,36,44,30,41,36,52,"","",62,84,"",84,"",""
Fes,Morocco,Africa,"","","","","","","","","","","","",43,"",""
Tanger,Morocco,Africa,"","","","","","","","","","","","",46,"",""
Maputo,Mozambique,Africa,"","",104,75,92,53,39,"","","","","","","",""
Yangon,Myanmar,Asia,"","","","","","",114,139,155,185,161,186,182,"",""
Kathmandu,Nepal,Asia,"","",172,166,"","","","","","","","","","",""
Amsterdam,Netherlands,Europe,"","",32,17,27,11,24,10,12,17,16,17,14,18,""
Rotterdam,Netherlands,Europe,"","","","","","",15,9,14,12,11,6,9,8,""
The Hague,Netherlands,Europe,"","","","","","",10,8,3,12,3,5,5,6,""
Auckland,New Zealand,Oceania,"","",19,23,11,20,15,17,14,10,11,"","","",""
Managua,Nicaragua,Americas,"","",162,178,"","","",236,"","","","","","",""
Bergen,Norway,Europe,"",2,2,2,1,0,1,2,1,1,3,3,1,0,""
Oslo,Norway,Europe,11,12,8,9,8,12,7,5,19,8,8,7,12,4,""
Trondheim,Norway,Europe,"",0,0,0,3,1,1,1,0,0,0,1,0,0,""
Muscat,Oman,Asia,"","","","",4,4,"","","","","","","","",""
Chiriqui,Panama,Americas,"","","","","","","","","","","","","",30,""
Ciudad de Panama (Capital),Panama,Americas,"","",257,247,305,465,610,549,530,491,435,388,252,217,""
Panama oeste,Panama,Americas,"","","","","","","","","","","","","",38,""
Asuncion,Paraguay,Americas,"","",68,93,69,42,53,36,45,32,39,33,30,"",""
Departamento Central,Paraguay,Americas,"","","","","","","","","","","","",65,"",""
Departamento de Alto Parana,Paraguay,Americas,"","","","","","","","","","","","",90,"",""
La Libertad,Peru,Americas,"","","","","","","","","","","",151,132,100,""
Lima,Peru,Americas,336,264,500,484,712,563,593,478,499,626,547,556,597,779,""
Piura,Peru,Americas,"","","","","","","","","","","",48,54,46,""
Quezon city,Philippines,Asia,"","",239,188,151,119,123,"","","",157,"","","",""
