DeSO.1,Kon,UtlBakgrund,values,Year
0562C1070,Totalt,Svensk,1514,2019
0562C1070,Totalt,Utländsk,390,2019
0562C1080,Kvinnor,Svensk,821,2019
0562C1080,Kvinnor,Utländsk,282,2019
0562C1080,Män,Svensk,874,2019
0562C1080,Män,Utländsk,306,2019
0562C1080,Totalt,Svensk,1695,2019
0562C1080,Totalt,Utländsk,588,2019
0563A0010,Kvinnor,Svensk,422,2019
0563A0010,Kvinnor,Utländsk,26,2019
0563A0010,Män,Svensk,440,2019
0563A0010,Män,Utländsk,24,2019
0563A0010,Totalt,Svensk,862,2019
0563A0010,Totalt,Utländsk,50,2019
0563A0020,Kvinnor,Svensk,361,2019
0563A0020,Kvinnor,Utländsk,29,2019
0563A0020,Män,Svensk,389,2019
0563A0020,Män,Utländsk,31,2019
0563A0020,Totalt,Svensk,750,2019
0563A0020,Totalt,Utländsk,60,2019
0563A0030,Kvinnor,Svensk,856,2019
0563A0030,Kvinnor,Utländsk,48,2019
0563A0030,Män,Svensk,921,2019
0563A0030,Män,Utländsk,50,2019
0563A0030,Totalt,Svensk,1777,2019
0563A0030,Totalt,Utländsk,98,2019
0563B2010,Kvinnor,Svensk,445,2019
0563B2010,Kvinnor,Utländsk,160,2019
0563B2010,Män,Svensk,473,2019
0563B2010,Män,Utländsk,159,2019
0563B2010,Totalt,Svensk,918,2019
0563B2010,Totalt,Utländsk,319,2019
0563C1010,Kvinnor,Svensk,715,2019
0563C1010,Kvinnor,Utländsk,167,2019
0563C1010,Män,Svensk,696,2019
0563C1010,Män,Utländsk,161,2019
0563C1010,Totalt,Svensk,1411,2019
0563C1010,Totalt,Utländsk,328,2019
0563C1020,Kvinnor,Svensk,489,2019
0563C1020,Kvinnor,Utländsk,132,2019
0563C1020,Män,Svensk,508,2019
0563C1020,Män,Utländsk,171,2019
0563C1020,Totalt,Svensk,997,2019
0563C1020,Totalt,Utländsk,303,2019
0580A0010,Kvinnor,Svensk,1135,2019
0580A0010,Kvinnor,Utländsk,74,2019
0580A0010,Män,Svensk,1211,2019
0580A0010,Män,Utländsk,68,2019
0580A0010,Totalt,Svensk,2346,2019
0580A0010,Totalt,Utländsk,142,2019
0580A0020,Kvinnor,Svensk,883,2019
0580A0020,Kvinnor,Utländsk,52,2019
0580A0020,Män,Svensk,923,2019
0580A0020,Män,Utländsk,43,2019
0580A0020,Totalt,Svensk,1806,2019
0580A0020,Totalt,Utländsk,95,2019
0580A0030,Kvinnor,Svensk,849,2019
0580A0030,Kvinnor,Utländsk,50,2019
0580A0030,Män,Svensk,931,2019
0580A0030,Män,Utländsk,56,2019
0580A0030,Totalt,Svensk,1780,2019
0580A0030,Totalt,Utländsk,106,2019
0580A0040,Kvinnor,Svensk,377,2019
0580A0040,Kvinnor,Utländsk,20,2019
0580A0040,Män,Svensk,359,2019
0580A0040,Män,Utländsk,23,2019
0580A0040,Totalt,Svensk,736,2019
0580A0040,Totalt,Utländsk,43,2019
0580A0050,Kvinnor,Svensk,782,2019
0580A0050,Kvinnor,Utländsk,80,2019
0580A0050,Män,Svensk,896,2019
0580A0050,Män,Utländsk,67,2019
0580A0050,Totalt,Svensk,1678,2019
0580A0050,Totalt,Utländsk,147,2019
0580A0060,Kvinnor,Svensk,780,2019
0580A0060,Kvinnor,Utländsk,68,2019
0580A0060,Män,Svensk,854,2019
0580A0060,Män,Utländsk,64,2019
0580A0060,Totalt,Svensk,1634,2019
0580A0060,Totalt,Utländsk,132,2019
0580A0070,Kvinnor,Svensk,650,2019
0580A0070,Kvinnor,Utländsk,41,2019
0580A0070,Män,Svensk,656,2019
0580A0070,Män,Utländsk,61,2019
0580A0070,Totalt,Svensk,1306,2019
0580A0070,Totalt,Utländsk,102,2019
0580A0080,Kvinnor,Svensk,428,2019
0580A0080,Kvinnor,Utländsk,36,2019
0580A0080,Män,Svensk,475,2019
0580A0080,Män,Utländsk,35,2019
0580A0080,Totalt,Svensk,903,2019
0580A0080,Totalt,Utländsk,71,2019
0580A0090,Kvinnor,Svensk,704,2019
0580A0090,Kvinnor,Utländsk,77,2019
0580A0090,Män,Svensk,820,2019
0580A0090,Män,Utländsk,52,2019
0580A0090,Totalt,Svensk,1524,2019
0580A0090,Totalt,Utländsk,129,2019
0580A0100,Kvinnor,Svensk,619,2019
0580A0100,Kvinnor,Utländsk,37,2019
0580A0100,Män,Svensk,615,2019
0580A0100,Män,Utländsk,33,2019
0580A0100,Totalt,Svensk,1234,2019
0580A0100,Totalt,Utländsk,70,2019
0580A0110,Kvinnor,Svensk,470,2019
0580A0110,Kvinnor,Utländsk,52,2019
0580A0110,Män,Svensk,520,2019
0580A0110,Män,Utländsk,44,2019
0580A0110,Totalt,Svensk,990,2019
0580A0110,Totalt,Utländsk,96,2019
0580A0120,Kvinnor,Svensk,506,2019
0580A0120,Kvinnor,Utländsk,40,2019
0580A0120,Män,Svensk,533,2019
0580A0120,Män,Utländsk,31,2019
0580A0120,Totalt,Svensk,1039,2019
0580A0120,Totalt,Utländsk,71,2019
0580A0130,Kvinnor,Svensk,387,2019
0580A0130,Kvinnor,Utländsk,32,2019
0580A0130,Män,Svensk,434,2019
0580A0130,Män,Utländsk,33,2019
0580A0130,Totalt,Svensk,821,2019
0580A0130,Totalt,Utländsk,65,2019
0580B2010,Kvinnor,Svensk,630,2019
0580B2010,Kvinnor,Utländsk,38,2019
0580B2010,Män,Svensk,646,2019
0580B2010,Män,Utländsk,50,2019
0580B2010,Totalt,Svensk,1276,2019
0580B2010,Totalt,Utländsk,88,2019
0580B2020,Kvinnor,Svensk,833,2019
0580B2020,Kvinnor,Utländsk,80,2019
0580B2020,Män,Svensk,814,2019
0580B2020,Män,Utländsk,67,2019
0580B2020,Totalt,Svensk,1647,2019
0580B2020,Totalt,Utländsk,147,2019
0580B2030,Kvinnor,Svensk,699,2019
0580B2030,Kvinnor,Utländsk,72,2019
0580B2030,Män,Svensk,725,2019
0580B2030,Män,Utländsk,82,2019
0580B2030,Totalt,Svensk,1424,2019
0580B2030,Totalt,Utländsk,154,2019
0580B2040,Kvinnor,Svensk,657,2019
0580B2040,Kvinnor,Utländsk,61,2019
0580B2040,Män,Svensk,596,2019
0580B2040,Män,Utländsk,75,2019
0580B2040,Totalt,Svensk,1253,2019
0580B2040,Totalt,Utländsk,136,2019
0580B2050,Kvinnor,Svensk,985,2019
0580B2050,Kvinnor,Utländsk,91,2019
0580B2050,Män,Svensk,1037,2019
0580B2050,Män,Utländsk,87,2019
0580B2050,Totalt,Svensk,2022,2019
0580B2050,Totalt,Utländsk,178,2019
0580B3010,Kvinnor,Svensk,828,2019
0580B3010,Kvinnor,Utländsk,72,2019
0580B3010,Män,Svensk,849,2019
0580B3010,Män,Utländsk,62,2019
0580B3010,Totalt,Svensk,1677,2019
0580B3010,Totalt,Utländsk,134,2019
0580B3020,Kvinnor,Svensk,667,2019
0580B3020,Kvinnor,Utländsk,48,2019
0580B3020,Män,Svensk,682,2019
0580B3020,Män,Utländsk,49,2019
0580B3020,Totalt,Svensk,1349,2019
0580B3020,Totalt,Utländsk,97,2019
0580B4010,Kvinnor,Svensk,677,2019
0580B4010,Kvinnor,Utländsk,66,2019
0580B4010,Män,Svensk,713,2019
0580B4010,Män,Utländsk,60,2019
0580B4010,Totalt,Svensk,1390,2019
0580B4010,Totalt,Utländsk,126,2019
0580B4020,Kvinnor,Svensk,584,2019
0580B4020,Kvinnor,Utländsk,36,2019
0580B4020,Män,Svensk,608,2019
0580B4020,Män,Utländsk,30,2019
0580B4020,Totalt,Svensk,1192,2019
0580B4020,Totalt,Utländsk,66,2019
0580B5010,Kvinnor,Svensk,1154,2019
0580B5010,Kvinnor,Utländsk,180,2019
0580B5010,Män,Svensk,1276,2019
0580B5010,Män,Utländsk,169,2019
0580B5010,Totalt,Svensk,2430,2019
0580B5010,Totalt,Utländsk,349,2019
0580B6010,Kvinnor,Svensk,565,2019
0580B6010,Kvinnor,Utländsk,33,2019
0580B6010,Män,Svensk,570,2019
0580B6010,Män,Utländsk,22,2019
0580B6010,Totalt,Svensk,1135,2019
0580B6010,Totalt,Utländsk,55,2019
0580B6020,Kvinnor,Svensk,878,2019
0580B6020,Kvinnor,Utländsk,77,2019
0580B6020,Män,Svensk,906,2019
0580B6020,Män,Utländsk,77,2019
0580B6020,Totalt,Svensk,1784,2019
0580B6020,Totalt,Utländsk,154,2019
