DeSO.1,Kon,UtlBakgrund,values,Year
0115C1050,Kvinnor,Utländsk,226,2019
0115C1050,Män,Svensk,1165,2019
0115C1050,Män,Utländsk,224,2019
0115C1050,Totalt,Svensk,2248,2019
0115C1050,Totalt,Utländsk,450,2019
0115C1060,Kvinnor,Svensk,836,2019
0115C1060,Kvinnor,Utländsk,274,2019
0115C1060,Män,Svensk,742,2019
0115C1060,Män,Utländsk,219,2019
0115C1060,Totalt,Svensk,1578,2019
0115C1060,Totalt,Utländsk,493,2019
0115C1070,Kvinnor,Svensk,607,2019
0115C1070,Kvinnor,Utländsk,381,2019
0115C1070,Män,Svensk,600,2019
0115C1070,Män,Utländsk,414,2019
0115C1070,Totalt,Svensk,1207,2019
0115C1070,Totalt,Utländsk,795,2019
0115C1080,Kvinnor,Svensk,636,2019
0115C1080,Kvinnor,Utländsk,123,2019
0115C1080,Män,Svensk,628,2019
0115C1080,Män,Utländsk,117,2019
0115C1080,Totalt,Svensk,1264,2019
0115C1080,Totalt,Utländsk,240,2019
0115C1090,Kvinnor,Svensk,517,2019
0115C1090,Kvinnor,Utländsk,209,2019
0115C1090,Män,Svensk,452,2019
0115C1090,Män,Utländsk,180,2019
0115C1090,Totalt,Svensk,969,2019
0115C1090,Totalt,Utländsk,389,2019
0115C1100,Kvinnor,Svensk,1014,2019
0115C1100,Kvinnor,Utländsk,250,2019
0115C1100,Män,Svensk,1075,2019
0115C1100,Män,Utländsk,228,2019
0115C1100,Totalt,Svensk,2089,2019
0115C1100,Totalt,Utländsk,478,2019
0115C1110,Kvinnor,Svensk,766,2019
0115C1110,Kvinnor,Utländsk,283,2019
0115C1110,Män,Svensk,776,2019
0115C1110,Män,Utländsk,285,2019
0115C1110,Totalt,Svensk,1542,2019
0115C1110,Totalt,Utländsk,568,2019
0115C1120,Kvinnor,Svensk,700,2019
0115C1120,Kvinnor,Utländsk,147,2019
0115C1120,Män,Svensk,754,2019
0115C1120,Män,Utländsk,165,2019
0115C1120,Totalt,Svensk,1454,2019
0115C1120,Totalt,Utländsk,312,2019
0115C1130,Kvinnor,Svensk,488,2019
0115C1130,Kvinnor,Utländsk,115,2019
0115C1130,Män,Svensk,525,2019
0115C1130,Män,Utländsk,109,2019
0115C1130,Totalt,Svensk,1013,2019
0115C1130,Totalt,Utländsk,224,2019
0117A0010,Kvinnor,Svensk,298,2019
0117A0010,Kvinnor,Utländsk,48,2019
0117A0010,Män,Svensk,305,2019
0117A0010,Män,Utländsk,72,2019
0117A0010,Totalt,Svensk,603,2019
0117A0010,Totalt,Utländsk,120,2019
0117A0020,Kvinnor,Svensk,754,2019
0117A0020,Kvinnor,Utländsk,144,2019
0117A0020,Män,Svensk,899,2019
0117A0020,Män,Utländsk,147,2019
0117A0020,Totalt,Svensk,1653,2019
0117A0020,Totalt,Utländsk,291,2019
0117A0030,Kvinnor,Svensk,867,2019
0117A0030,Kvinnor,Utländsk,172,2019
0117A0030,Män,Svensk,979,2019
0117A0030,Män,Utländsk,179,2019
0117A0030,Totalt,Svensk,1846,2019
0117A0030,Totalt,Utländsk,351,2019
0117C1010,Kvinnor,Svensk,539,2019
0117C1010,Kvinnor,Utländsk,98,2019
0117C1010,Män,Svensk,623,2019
0117C1010,Män,Utländsk,87,2019
0117C1010,Totalt,Svensk,1162,2019
0117C1010,Totalt,Utländsk,185,2019
0117C1020,Kvinnor,Svensk,537,2019
0117C1020,Kvinnor,Utländsk,99,2019
0117C1020,Män,Svensk,620,2019
0117C1020,Män,Utländsk,118,2019
0117C1020,Totalt,Svensk,1157,2019
0117C1020,Totalt,Utländsk,217,2019
0117C1030,Kvinnor,Svensk,1082,2019
0117C1030,Kvinnor,Utländsk,166,2019
0117C1030,Män,Svensk,1168,2019
0117C1030,Män,Utländsk,168,2019
0117C1030,Totalt,Svensk,2250,2019
0117C1030,Totalt,Utländsk,334,2019
0117C1040,Kvinnor,Svensk,1130,2019
0117C1040,Kvinnor,Utländsk,146,2019
0117C1040,Män,Svensk,1166,2019
0117C1040,Män,Utländsk,124,2019
0117C1040,Totalt,Svensk,2296,2019
0117C1040,Totalt,Utländsk,270,2019
0117C1050,Kvinnor,Svensk,694,2019
0117C1050,Kvinnor,Utländsk,221,2019
0117C1050,Män,Svensk,758,2019
0117C1050,Män,Utländsk,290,2019
0117C1050,Totalt,Svensk,1452,2019
0117C1050,Totalt,Utländsk,511,2019
0117C1060,Kvinnor,Svensk,1128,2019
0117C1060,Kvinnor,Utländsk,229,2019
0117C1060,Män,Svensk,1116,2019
0117C1060,Män,Utländsk,220,2019
0117C1060,Totalt,Svensk,2244,2019
0117C1060,Totalt,Utländsk,449,2019
0117C1070,Kvinnor,Svensk,935,2019
0117C1070,Kvinnor,Utländsk,188,2019
0117C1070,Män,Svensk,951,2019
0117C1070,Män,Utländsk,170,2019
0117C1070,Totalt,Svensk,1886,2019
0117C1070,Totalt,Utländsk,358,2019
0117C1080,Kvinnor,Svensk,1057,2019
0117C1080,Kvinnor,Utländsk,242,2019
0117C1080,Män,Svensk,1181,2019
0117C1080,Män,Utländsk,206,2019
0117C1080,Totalt,Svensk,2238,2019
0117C1080,Totalt,Utländsk,448,2019
0117C1090,Kvinnor,Svensk,933,2019
0117C1090,Kvinnor,Utländsk,265,2019
0117C1090,Män,Svensk,919,2019
0117C1090,Män,Utländsk,241,2019
0117C1090,Totalt,Svensk,1852,2019
0117C1090,Totalt,Utländsk,506,2019
0117C1100,Kvinnor,Svensk,807,2019
0117C1100,Kvinnor,Utländsk,248,2019
0117C1100,Män,Svensk,784,2019
0117C1100,Män,Utländsk,224,2019
0117C1100,Totalt,Svensk,1591,2019
0117C1100,Totalt,Utländsk,472,2019
0117C1110,Kvinnor,Svensk,704,2019
0117C1110,Kvinnor,Utländsk,488,2019
0117C1110,Män,Svensk,627,2019
0117C1110,Män,Utländsk,507,2019
0117C1110,Totalt,Svensk,1331,2019
0117C1110,Totalt,Utländsk,995,2019
0117C1120,Kvinnor,Svensk,599,2019
0117C1120,Kvinnor,Utländsk,264,2019
0117C1120,Män,Svensk,646,2019
0117C1120,Män,Utländsk,233,2019
0117C1120,Totalt,Svensk,1245,2019
0117C1120,Totalt,Utländsk,497,2019
0117C1130,Kvinnor,Svensk,718,2019
0117C1130,Kvinnor,Utländsk,354,2019
0117C1130,Män,Svensk,682,2019
0117C1130,Män,Utländsk,314,2019
0117C1130,Totalt,Svensk,1400,2019
0117C1130,Totalt,Utländsk,668,2019
0117C1140,Kvinnor,Svensk,825,2019
0117C1140,Kvinnor,Utländsk,401,2019
0117C1140,Män,Svensk,755,2019
0117C1140,Män,Utländsk,394,2019
0117C1140,Totalt,Svensk,1580,2019
0117C1140,Totalt,Utländsk,795,2019
